unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
41159,house,3,3,3,0,15,1894,4,false,false,false,Bumpass,Louisa,23024,VA,38.038862,-77.760245
41215,condo,1,1,1,0,4,1801,3,false,false,false,Destin,Okaloosa,32541,FL,30.388230,-86.482580
41976,house,3,3,3,0,10,1440,2,false,false,false,Gilchrist,Galveston,77617,TX,29.517039,-94.477580
42033,condo,3,2,2,0,8,"",3,false,false,false,Vail,Eagle,81657,CO,39.645559,-106.393248
42119,cabin,3,2,1,1,7,1024,2,false,false,false,McCall,Valley,83638,ID,44.916562,-116.128025
42140,condo,2,2,2,0,6,"",7,false,false,false,South Padre Island,Cameron,78597,TX,26.113465,-97.165811
42188,condo,3,3,3,0,7,1952,2,false,false,false,Poipu,Kauai,96756,HI,21.884606,-159.457816
42196,townhouse,3,3,3,0,9,1416,3,false,false,false,Kissimmee,Osceola,34747,FL,28.316032,-81.614502
42236,house,3,2,2,0,4,1098,28,false,false,false,Key Largo,Monroe,33037,FL,25.044830,-80.487941
42273,cabin,1,1,1,0,4,1014,2,false,false,false,Suches,Fannin,30572,GA,34.735814,-84.111429
42301,house,3,3,2,1,8,3020,2,false,false,false,Shaver Lake,Fresno,93664,CA,37.081918,-119.317820
42397,condo,2,2,2,0,6,928,2,false,false,false,Gulf Shores,Baldwin,36542,AL,30.248353,-87.684963
42548,condo,3,3,3,0,10,1638,3,false,true,false,Bethany Beach,Sussex,19930,DE,38.531610,-75.073546
42753,condo,1,1,1,0,4,750,3,false,true,false,Bethany Beach,Sussex,19930,DE,38.526805,-75.065306
43150,condo,1,1,1,0,4,750,3,false,true,false,Bethany Beach,Sussex,19930,DE,38.527939,-75.061040
43202,townhouse,4,4,3,1,10,904,3,false,true,false,Ocean View,Sussex,19930,DE,38.559618,-75.083186
43319,condo,3,3,3,0,9,1588,3,false,false,false,Miramar Beach,Walton,32550,FL,30.377608,-86.366795
43506,condo,1,2,2,0,4,976,2,false,false,false,Kihei,Maui,96753,HI,20.695424,-156.442481
43567,house,4,4,3,1,15,3463,2,false,false,false,Frankfort,Benzie,49635,MI,44.634554,-86.149957
43588,house,7,5,5,0,18,3976,3,false,false,false,Kissimmee,Osceola,34747,FL,28.283659,-81.646860
43598,house,3,2,2,0,8,1959,2,false,false,false,Indian Harbour Beach,Brevard,32937,FL,28.153967,-80.601576
43634,condo,0,1,1,0,2,495,2,false,false,true,Granby,Grand,80446,CO,40.062924,-105.921832
43635,condo,0,1,1,0,2,625,2,false,false,true,Granby,Grand,80446,CO,40.062924,-105.921832
43655,house,3,1,1,0,5,890,4,false,false,false,San Diego,San Diego,92110,CA,32.770886,-117.200396
43668,house,4,2,2,0,8,2037,2,false,false,false,Chatham,Barnstable,02659,MA,41.694764,-70.016981
44142,house,5,5,3,2,11,2354,3,false,false,false,Avon,Dare,27915,NC,35.348849,-75.501578
44190,house,3,2,1,1,6,1066,3,false,false,false,Avon,Dare,27915,NC,35.364768,-75.499667
44281,house,4,4,2,2,8,2025,3,false,false,false,Avon,Dare,27915,NC,35.368694,-75.502814
44282,house,3,4,3,1,6,1500,3,false,false,false,Avon,Dare,27915,NC,35.368557,-75.502759
44284,house,6,7,6,1,12,3742,3,false,false,false,Avon,Dare,27915,NC,35.332757,-75.512973
44303,house,3,2,2,0,6,1312,3,false,false,false,Avon,Dare,27915,NC,35.322789,-75.509495
44327,house,6,5,4,1,14,3050,7,false,false,false,Avon,Dare,27915,NC,35.338907,-75.507447
44337,house,3,3,2,1,6,1500,3,false,false,false,Avon,Dare,27915,NC,35.369376,-75.500954
44389,townhouse,3,3,2,1,6,1795,3,false,false,false,Buxton,Dare,27920,NC,35.259119,-75.522066
44506,house,6,6,5,1,12,3460,3,false,false,false,Hatteras,Dare,27943,NC,35.213460,-75.683876
44568,house,7,7,6,1,14,3188,3,false,false,false,Waves,Dare,27982,NC,35.567352,-75.463853
44577,condo,1,2,2,0,4,853,1,false,false,false,Panama City Beach,Bay,32407,FL,30.188825,-85.818629
44606,townhouse,3,4,3,1,8,1777,2,false,false,false,Truckee,Nevada,96161,CA,39.322448,-120.178008
44618,condo,2,2,2,0,6,1385,2,false,false,false,Galveston,Galveston,77554,TX,29.243082,-94.868045
44633,condo,1,1,1,0,4,"",1,false,false,false,Stowe,Lamoille,05672,VT,44.477510,-72.716411
44818,house,9,9,8,1,18,3914,3,false,false,false,Corolla,Currituck,27927,NC,36.366675,-75.825092
44965,townhouse,4,3,3,0,12,1914,2,false,false,false,Kissimmee,Osceola,34746,FL,28.341490,-81.474695
44984,condo,2,2,2,0,6,1100,2,false,false,false,Stowe,Lamoille,05672,VT,44.478183,-72.719221
45015,house,5,6,5,1,13,4256,4,false,false,false,Copper Mountain,Summit,80443,CO,39.498600,-106.143473
45041,townhouse,2,2,2,0,6,1000,2,false,false,false,Copper Mountain,Summit,80443,CO,39.499604,-106.145459
45045,house,4,3,3,0,10,2640,2,false,false,false,Ocean Pines,Worcester,21811,MD,38.392165,-75.155838
45046,house,1,3,2,1,6,2028,1,false,false,false,Sevierville,Sevier,37862,TN,35.828540,-83.561172
45055,condo,1,2,1,1,4,719,2,false,false,false,Destin,Okaloosa,32541,FL,30.385043,-86.468316
45059,house,4,3,3,0,8,2424,3,false,false,false,Tampa,Hillsborough,33634,FL,27.972564,-82.557956
45062,condo,0,1,1,0,4,413,2,false,false,false,Winter Park,Grand,80482,CO,39.879961,-105.760827
45093,house,3,2,2,0,6,1750,28,false,false,false,Cape Canaveral,Brevard,32920,FL,28.397911,-80.603398
45161,house,5,6,4,2,12,4026,2,false,false,false,Bend,Deschutes,97702,OR,44.050997,-121.339385
45314,house,2,2,2,0,6,1342,2,false,false,false,Soda Springs,Placer,95728,CA,39.301383,-120.389136
